A_T0	a_m a_m
CHOU_T2	ch o_l u_h
CHOU_T3	ch o_l u_l
CHOU_T4	ch o_h u_l
CHU_T0	chu u_m u_m
CHU_T1	chu u_h u_h
CHU_T2	chu u_l u_h
CHU_T3	chu u_l u_l
CHU_T4	chu u_h u_l
CHUAI_T0	chu a_m eh_m
CHUAI_T1	chu a_h eh_h
CHUAI_T2	chu a_l eh_h
CHUAI_T3	chu a_l eh_l
CHUAI_T4	chu a_h eh_l
CHUAN_T0	chu a_m nn_m
CHUAN_T1	chu a_h nn_h
CHUAN_T2	chu a_l nn_h
CHUAN_T3	chu a_l nn_l
CHUAN_T4	chu a_h nn_l
CHUANG_T0	chu aa_m ng_m
CHUANG_T1	chu aa_h ng_h
CHUANG_T2	chu aa_l ng_h
CHUANG_T3	chu aa_l ng_l
CHUANG_T4	chu aa_h ng_l
CHUI_T0	chu eh_m i_m
CHUI_T1	chu eh_h i_h
CHUI_T2	chu eh_l i_h
CHUI_T3	chu eh_l i_l
CHUI_T4	chu eh_h i_l
CHUN_T0	chu el_m nn_m
CHUN_T1	chu el_h nn_h
CHUN_T2	chu el_l nn_h
CHUN_T3	chu el_l nn_l
CHUN_T4	chu el_h nn_l
CHUO_T0	chu o_m o_m
CHUO_T1	chu o_h o_h
CHUO_T2	chu o_l o_h
CHUO_T3	chu o_l o_l
CHUO_T4	chu o_h o_l
CI_T0	c if_m if_m
CI_T1	c if_h if_h
CI_T2	c if_l if_h
CI_T3	c if_l if_l
CI_T4	c if_h if_l
CONG_T0	cu u_m ng_m
CONG_T1	cu u_h ng_h
CONG_T2	cu u_l ng_h
CONG_T3	cu u_l ng_l
CONG_T4	cu u_h ng_l
COU_T0	c o_m u_m
COU_T1	c o_h u_h
COU_T2	c o_l u_h
COU_T3	c o_l u_l
COU_T4	c o_h u_l
CU_T0	cu u_m u_m
CU_T1	cu u_h u_h
CU_T2	cu u_l u_h
CU_T3	cu u_l u_l
CU_T4	cu u_h u_l
CUAN_T0	cu a_m nn_m
CUAN_T1	cu a_h nn_h
CUAN_T2	cu a_l nn_h
CUAN_T3	cu a_l nn_l
CUAN_T4	cu a_h nn_l
CUI_T0	cu eh_m i_m
CUI_T1	cu eh_h i_h
CUI_T2	cu eh_l i_h
CUI_T3	cu eh_l i_l
CUI_T4	cu eh_h i_l
CUN_T0	cu el_m nn_m
CUN_T1	cu el_h nn_h
CUN_T2	cu el_l nn_h
CUN_T3	cu el_l nn_l
