A_T0	a_m a_m
LIAN_T4	li a_h nn_l
LIANG_T0	li aa_m ng_m
LIANG_T1	li aa_h ng_h
LIANG_T2	li aa_l ng_h
LIANG_T3	li aa_l ng_l
LIANG_T4	li aa_h ng_l
LIAO_T0	li aa_m o_m
LIAO_T1	li aa_h o_h
LIAO_T2	li aa_l o_h
LIAO_T3	li aa_l o_l
LIAO_T4	li aa_h o_l
LIE_T0	li eh_m eh_m
LIE_T1	li eh_h eh_h
LIE_T2	li eh_l eh_h
LIE_T3	li eh_l eh_l
LIE_T4	li eh_h eh_l
LIN_T0	li i_m nn_m
LIN_T1	li i_h nn_h
LIN_T2	li i_l nn_h
LIN_T3	li i_l nn_l
LIN_T4	li i_h nn_l
LING_T0	li el_m ng_m
LING_T1	li el_h ng_h
LING_T2	li el_l ng_h
LING_T3	li el_l ng_l
LING_T4	li el_h ng_l
LIU_T0	li o_m u_m
LIU_T1	li o_h u_h
LIU_T2	li o_l u_h
LIU_T3	li o_l u_l
LIU_T4	li o_h u_l
LONG_T0	lu u_m ng_m
LONG_T1	lu u_h ng_h
LONG_T2	lu u_l ng_h
LONG_T3	lu u_l ng_l
LONG_T4	lu u_h ng_l
LOU_T0	l o_m u_m
LOU_T1	l o_h u_h
LOU_T2	l o_l u_h
LOU_T3	l o_l u_l
LOU_T4	l o_h u_l
LU_T0	lu u_m u_m
LU_T1	lu u_h u_h
LU_T2	lu u_l u_h
LU_T3	lu u_l u_l
LU_T4	lu u_h u_l
LUAN_T0	lu a_m nn_m
LUAN_T1	lu a_h nn_h
LUAN_T2	lu a_l nn_h
LUAN_T3	lu a_l nn_l
LUAN_T4	lu a_h nn_l
LUN_T0	lu el_m nn_m
LUN_T1	lu el_h nn_h
LUN_T2	lu el_l nn_h
LUN_T3	lu el_l nn_l
LUN_T4	lu el_h nn_l
LUO_T0	lu o_m o_m
LUO_T1	lu o_h o_h
LUO_T2	lu o_l o_h
LUO_T3	lu o_l o_l
LUO_T4	lu o_h o_l
LV_T0	lv v_m v_m
LV_T1	lv v_h v_h
LV_T2	lv v_l v_h
LV_T3	lv v_l v_l
LV_T4	lv v_h v_l
LVE_T0	lv eh_m eh_m
LVE_T1	lv eh_h eh_h
LVE_T2	lv eh_l eh_h
LVE_T3	lv eh_l eh_l
LVE_T4	lv eh_h eh_l
MA_T0	m a_m a_m
MA_T1	m a_h a_h
MA_T2	m a_l a_h
MA_T3	m a_l a_l
MA_T4	m a_h a_l
MAI_T0	m a_m eh_m
MAI_T1	m a_h eh_h
MAI_T2	m a_l eh_h
MAI_T3	m a_l eh_l
MAI_T4	m a_h eh_l
MAN_T0	m a_m nn_m
MAN_T1	m a_h nn_h
MAN_T2	m a_l nn_h
MAN_T3	m a_l nn_l
MAN_T4	m a_h nn_l
MANG_T0	m aa_m ng_m
MANG_T1	m aa_h ng_h
MANG_T2	m aa_l ng_h
MANG_T3	m aa_l ng_l
MANG_T4	m aa_h ng_l
MAO_T0	m aa_m o_m
MAO_T1	m aa_h o_h
MAO_T2	m aa_l o_h
MAO_T3	m aa_l o_l
MAO_T4	m aa_h o_l
ME_T0	m el_m el_m
ME_T1	m el_h el_h
ME_T2	m el_l el_h
ME_T3	m el_l el_l
ME_T4	m el_h el_l
MEI_T0	m eh_m i_m
MEI_T1	m eh_h i_h
MEI_T2	m eh_l i_h
MEI_T3	m eh_l i_l
MEI_T4	m eh_h i_l
MEN_T0	m el_m nn_m
MEN_T1	m el_h nn_h
MEN_T2	m el_l nn_h
MEN_T3	m el_l nn_l
MEN_T4	m el_h nn_l
MENG_T0	m el_m ng_m
MENG_T1	m el_h ng_h
MENG_T2	m el_l ng_h
MENG_T3	m el_l ng_l
MENG_T4	m el_h ng_l
MI_T0	mi i_m i_m
MI_T1	mi i_h i_h
MI_T2	mi i_l i_h
MI_T3	mi i_l i_l
MI_T4	mi i_h i_l
MIAN_T0	mi a_m nn_m
MIAN_T1	mi a_h nn_h
MIAN_T2	mi a_l nn_h
MIAN_T3	mi a_l nn_l
MIAN_T4	mi a_h nn_l
MIAO_T0	mi aa_m o_m
MIAO_T1	mi aa_h o_h
MIAO_T2	mi aa_l o_h
MIAO_T3	mi aa_l o_l
MIAO_T4	mi aa_h o_l
MIE_T0	mi eh_m eh_m
MIE_T1	mi eh_h eh_h
MIE_T2	mi eh_l eh_h
MIE_T3	mi eh_l eh_l
MIE_T4	mi eh_h eh_l
MIN_T0	mi i_m nn_m
MIN_T1	mi i_h nn_h
MIN_T2	mi i_l nn_h
MIN_T3	mi i_l nn_l
MIN_T4	mi i_h nn_l
MING_T0	mi el_m ng_m
MING_T1	mi el_h ng_h
MING_T2	mi el_l ng_h
MING_T3	mi el_l ng_l
MING_T4	mi el_h ng_l
MIU_T0	mi o_m u_m
MIU_T1	mi o_h u_h
MIU_T2	mi o_l u_h
MIU_T3	mi o_l u_l
MIU_T4	mi o_h u_l
MO_T0	mu o_m o_m
MO_T1	mu o_h o_h
MO_T2	mu o_l o_h
MO_T3	mu o_l o_l
MO_T4	mu o_h o_l
MOU_T0	m o_m u_m
MOU_T1	m o_h u_h
MOU_T2	m o_l u_h
MOU_T3	m o_l u_l
MOU_T4	m o_h u_l
MU_T0	mu u_m u_m
MU_T1	mu u_h u_h
MU_T2	mu u_l u_h
MU_T3	mu u_l u_l
MU_T4	mu u_h u_l
NA_T0	n a_m a_m
NA_T1	n a_h a_h
NA_T2	n a_l a_h
NA_T3	n a_l a_l
NA_T4	n a_h a_l
NAI_T0	n a_m eh_m
NAI_T1	n a_h eh_h
NAI_T2	n a_l eh_h
NAI_T3	n a_l eh_l
NAI_T4	n a_h eh_l
NAN_T0	n a_m nn_m
NAN_T1	n a_h nn_h
NAN_T2	n a_l nn_h
NAN_T3	n a_l nn_l
NAN_T4	n a_h nn_l
NANG_T0	n aa_m ng_m
NANG_T1	n aa_h ng_h
NANG_T2	n aa_l ng_h
NANG_T3	n aa_l ng_l
NANG_T4	n aa_h ng_l
NAO_T0	n aa_m o_m
NAO_T1	n aa_h o_h
NAO_T2	n aa_l o_h
NAO_T3	n aa_l o_l
NAO_T4	n aa_h o_l
NE_T0	n el_m el_m
NE_T1	n el_h el_h
NE_T2	n el_l el_h
NE_T3	n el_l el_l
NE_T4	n el_h el_l
NEI_T0	n eh_m i_m
NEI_T1	n eh_h i_h
NEI_T2	n eh_l i_h
NEI_T3	n eh_l i_l
NEI_T4	n eh_h i_l
NEN_T0	n el_m nn_m
NEN_T1	n el_h nn_h
NEN_T2	n el_l nn_h
NEN_T3	n el_l nn_l
NEN_T4	n el_h nn_l
NENG_T0	n el_m ng_m
NENG_T1	n el_h ng_h
NENG_T2	n el_l ng_h
NENG_T3	n el_l ng_l
NENG_T4	n el_h ng_l
NI_T0	ni i_m i_m
NI_T1	ni i_h i_h
NI_T2	ni i_l i_h
NI_T3	ni i_l i_l
NI_T4	ni i_h i_l
NIAN_T0	ni a_m nn_m
NIAN_T1	ni a_h nn_h
NIAN_T2	ni a_l nn_h
NIAN_T3	ni a_l nn_l
NIAN_T4	ni a_h nn_l
NIANG_T0	ni aa_m ng_m
NIANG_T1	ni aa_h ng_h
NIANG_T2	ni aa_l ng_h
NIANG_T3	ni aa_l ng_l
NIANG_T4	ni aa_h ng_l
NIAO_T0	ni aa_m o_m
NIAO_T1	ni aa_h o_h
NIAO_T2	ni aa_l o_h
NIAO_T3	ni aa_l o_l
NIAO_T4	ni aa_h o_l
NIE_T0	ni eh_m eh_m
NIE_T1	ni eh_h eh_h
NIE_T2	ni eh_l eh_h
NIE_T3	ni eh_l eh_l
NIE_T4	ni eh_h eh_l
NIN_T0	ni i_m nn_m
NIN_T1	ni i_h nn_h
NIN_T2	ni i_l nn_h
NIN_T3	ni i_l nn_l
NIN_T4	ni i_h nn_l
NING_T0	ni el_m ng_m
NING_T1	ni el_h ng_h
NING_T2	ni el_l ng_h
NING_T3	ni el_l ng_l
NING_T4	ni el_h ng_l
NIU_T0	ni o_m u_m
NIU_T1	ni o_h u_h
NIU_T2	ni o_l u_h
NIU_T3	ni o_l u_l
NIU_T4	ni o_h u_l
NONG_T0	nu u_m ng_m
NONG_T1	nu u_h ng_h
NONG_T2	nu u_l ng_h
NONG_T3	nu u_l ng_l
NONG_T4	nu u_h ng_l
NOU_T0	n o_m u_m
NOU_T1	n o_h u_h
NOU_T2	n o_l u_h
NOU_T3	n o_l u_l
NOU_T4	n o_h u_l
NU_T0	nu u_m u_m
NU_T1	nu u_h u_h
NU_T2	nu u_l u_h
NU_T3	nu u_l u_l
NU_T4	nu u_h u_l
NUAN_T0	nu a_m nn_m
NUAN_T1	nu a_h nn_h
NUAN_T2	nu a_l nn_h
NUAN_T3	nu a_l nn_l
NUAN_T4	nu a_h nn_l
NUO_T0	nu o_m o_m
NUO_T1	nu o_h o_h
NUO_T2	nu o_l o_h
NUO_T3	nu o_l o_l
NUO_T4	nu o_h o_l
NV_T0	nv v_m v_m
NV_T1	nv v_h v_h
NV_T2	nv v_l v_h
NV_T3	nv v_l v_l
NV_T4	nv v_h v_l
NVE_T0	nv eh_m eh_m
NVE_T1	nv eh_h eh_h
NVE_T2	nv eh_l eh_h
NVE_T3	nv eh_l eh_l
NVE_T4	nv eh_h eh_l
O_T0	o_m o_m
O_T1	o_h o_h
O_T2	o_l o_h
O_T3	o_l o_l
O_T4	o_h o_l
OU_T0	o_m u_m
OU_T1	o_h u_h
OU_T2	o_l u_h
OU_T3	o_l u_l
OU_T4	o_h u_l
PA_T0	p a_m a_m
PA_T1	p a_h a_h
PA_T2	p a_l a_h
PA_T3	p a_l a_l
PA_T4	p a_h a_l
PAI_T0	p a_m eh_m
PAI_T1	p a_h eh_h
PAI_T2	p a_l eh_h
PAI_T3	p a_l eh_l
PAI_T4	p a_h eh_l
PAN_T0	p a_m nn_m
PAN_T1	p a_h nn_h
PAN_T2	p a_l nn_h
PAN_T3	p a_l nn_l
PAN_T4	p a_h nn_l
PANG_T0	p aa_m ng_m
PANG_T1	p aa_h ng_h
PANG_T2	p aa_l ng_h
PANG_T3	p aa_l ng_l
PANG_T4	p aa_h ng_l
PAO_T0	p aa_m o_m
PAO_T1	p aa_h o_h
PAO_T2	p aa_l o_h
PAO_T3	p aa_l o_l
PAO_T4	p aa_h o_l
PEI_T0	p eh_m i_m
PEI_T1	p eh_h i_h
PEI_T2	p eh_l i_h
PEI_T3	p eh_l i_l
PEI_T4	p eh_h i_l
PEN_T0	p el_m nn_m
PEN_T1	p el_h nn_h
PEN_T2	p el_l nn_h
PEN_T3	p el_l nn_l
PEN_T4	p el_h nn_l
PENG_T0	p el_m ng_m
PENG_T1	p el_h ng_h
PENG_T2	p el_l ng_h
PENG_T3	p el_l ng_l
PENG_T4	p el_h ng_l
PI_T0	pi i_m i_m
PI_T1	pi i_h i_h
PI_T2	pi i_l i_h
PI_T3	pi i_l i_l
PI_T4	pi i_h i_l
PIAN_T0	pi a_m nn_m
PIAN_T1	pi a_h nn_h
PIAN_T2	pi a_l nn_h
PIAN_T3	pi a_l nn_l
PIAN_T4	pi a_h nn_l
PIAO_T0	pi aa_m o_m
PIAO_T1	pi aa_h o_h
PIAO_T2	pi aa_l o_h
PIAO_T3	pi aa_l o_l
PIAO_T4	pi aa_h o_l
PIE_T0	pi eh_m eh_m
PIE_T1	pi eh_h eh_h
PIE_T2	pi eh_l eh_h
PIE_T3	pi eh_l eh_l
PIE_T4	pi eh_h eh_l
PIN_T0	pi i_m nn_m
PIN_T1	pi i_h nn_h
PIN_T2	pi i_l nn_h
PIN_T3	pi i_l nn_l
PIN_T4	pi i_h nn_l
PING_T0	pi el_m ng_m
PING_T1	pi el_h ng_h
PING_T2	pi el_l ng_h
PING_T3	pi el_l ng_l
PING_T4	pi el_h ng_l
PO_T0	pu o_m o_m
PO_T1	pu o_h o_h
PO_T2	pu o_l o_h
PO_T3	pu o_l o_l
PO_T4	pu o_h o_l
POU_T0	p o_m u_m
POU_T1	p o_h u_h
POU_T2	p o_l u_h
POU_T3	p o_l u_l
POU_T4	p o_h u_l
PU_T0	pu u_m u_m
PU_T1	pu u_h u_h
PU_T2	pu u_l u_h
PU_T3	pu u_l u_l
PU_T4	pu u_h u_l
QI_T0	qi i_m i_m
QI_T1	qi i_h i_h
QI_T2	qi i_l i_h
QI_T3	qi i_l i_l
QI_T4	qi i_h i_l
QIA_T0	qi a_m a_m
QIA_T1	qi a_h a_h
QIA_T2	qi a_l a_h
QIA_T3	qi a_l a_l
QIA_T4	qi a_h a_l
QIAN_T0	qi a_m nn_m
QIAN_T1	qi a_h nn_h
QIAN_T2	qi a_l nn_h
QIAN_T3	qi a_l nn_l
QIAN_T4	qi a_h nn_l
QIANG_T0	qi aa_m ng_m
QIANG_T1	qi aa_h ng_h
QIANG_T2	qi aa_l ng_h
QIANG_T3	qi aa_l ng_l
QIANG_T4	qi aa_h ng_l
QIAO_T0	qi aa_m o_m
QIAO_T1	qi aa_h o_h
QIAO_T2	qi aa_l o_h
QIAO_T3	qi aa_l o_l
QIAO_T4	qi aa_h o_l
QIE_T0	qi eh_m eh_m
QIE_T1	qi eh_h eh_h
QIE_T2	qi eh_l eh_h
QIE_T3	qi eh_l eh_l
QIE_T4	qi eh_h eh_l
QIN_T0	qi i_m nn_m
QIN_T1	qi i_h nn_h
QIN_T2	qi i_l nn_h
QIN_T3	qi i_l nn_l
QIN_T4	qi i_h nn_l
QING_T0	qi el_m ng_m
QING_T1	qi el_h ng_h
QING_T2	qi el_l ng_h
QING_T3	qi el_l ng_l
QING_T4	qi el_h ng_l
QIONG_T0	qv u_m ng_m
QIONG_T2	qv u_l ng_h
QIONG_T3	qv u_l ng_l
QIONG_T4	qv u_h ng_l
QIU_T0	qi o_m u_m
QIU_T1	qi o_h u_h
QIU_T2	qi o_l u_h
QIU_T3	qi o_l u_l
QU_T0	qv v_m v_m
QU_T1	qv v_h v_h
QU_T2	qv v_l v_h
QU_T3	qv v_l v_l
QU_T4	qv v_h v_l
QUAN_T0	qv a_m nn_m
QUAN_T1	qv a_h nn_h
QUAN_T2	qv a_l nn_h
QUAN_T3	qv a_l nn_l
QUAN_T4	qv a_h nn_l
QUE_T0	qv eh_m eh_m
QUE_T1	qv eh_h eh_h
QUE_T2	qv eh_l eh_h
QUE_T3	qv eh_l eh_l
QUE_T4	qv eh_h eh_l
QUN_T0	qv el_m nn_m
QUN_T1	qv el_h nn_h
QUN_T2	qv el_l nn_h
QUN_T3	qv el_l nn_l
QUN_T4	qv el_h nn_l
RAN_T0	r a_m nn_m
RAN_T1	r a_h nn_h
RAN_T2	r a_l nn_h
RAN_T3	r a_l nn_l
RAN_T4	r a_h nn_l
RANG_T0	r aa_m ng_m
RANG_T1	r aa_h ng_h
RANG_T2	r aa_l ng_h
RANG_T3	r aa_l ng_l
RANG_T4	r aa_h ng_l
RAO_T0	r aa_m o_m
RAO_T1	r aa_h o_h
RAO_T2	r aa_l o_h
RAO_T3	r aa_l o_l
RAO_T4	r aa_h o_l
RE_T0	r el_m el_m
RE_T1	r el_h el_h
RE_T2	r el_l el_h
RE_T3	r el_l el_l
RE_T4	r el_h el_l
REN_T0	r el_m nn_m
REN_T1	r el_h nn_h
REN_T2	r el_l nn_h
REN_T3	r el_l nn_l
REN_T4	r el_h nn_l
RENG_T0	r el_m ng_m
RENG_T1	r el_h ng_h
RENG_T2	r el_l ng_h
RENG_T3	r el_l ng_l
RENG_T4	r el_h ng_l
RI_T0	r ib_m ib_m
RI_T1	r ib_h ib_h
RI_T2	r ib_l ib_h
RI_T3	r ib_l ib_l
RI_T4	r ib_h ib_l
RONG_T0	ru u_m ng_m
RONG_T1	ru u_h ng_h
RONG_T2	ru u_l ng_h
RONG_T3	ru u_l ng_l
RONG_T4	ru u_h ng_l
ROU_T0	r o_m u_m
ROU_T1	r o_h u_h
ROU_T2	r o_l u_h
ROU_T3	r o_l u_l
ROU_T4	r o_h u_l
RU_T0	ru u_m u_m
RU_T1	ru u_h u_h
RU_T2	ru u_l u_h
RU_T3	ru u_l u_l
RU_T4	ru u_h u_l
RUAN_T0	ru a_m nn_m
RUAN_T1	ru a_h nn_h
RUAN_T2	ru a_l nn_h
RUAN_T3	ru a_l nn_l
RUAN_T4	ru a_h nn_l
RUI_T0	ru eh_m i_m
RUI_T1	ru eh_h i_h
RUI_T2	ru eh_l i_h
RUI_T3	ru eh_l i_l
RUI_T4	ru eh_h i_l
RUN_T0	ru el_m nn_m
RUN_T1	ru el_h nn_h
RUN_T2	ru el_l nn_h
RUN_T3	ru el_l nn_l
RUN_T4	ru el_h nn_l
RUO_T0	ru o_m o_m
RUO_T1	ru o_h o_h
RUO_T2	ru o_l o_h
RUO_T3	ru o_l o_l
RUO_T4	ru o_h o_l
SA_T0	s a_m a_m
SA_T1	s a_h a_h
SA_T2	s a_l a_h
SA_T3	s a_l a_l
SA_T4	s a_h a_l
SAI_T0	s a_m eh_m
SAI_T1	s a_h eh_h
SAI_T2	s a_l eh_h
SAI_T3	s a_l eh_l
SAI_T4	s a_h eh_l
SAN_T0	s a_m nn_m
SAN_T1	s a_h nn_h
SAN_T2	s a_l nn_h
SAN_T3	s a_l nn_l
SAN_T4	s a_h nn_l
SANG_T0	s aa_m ng_m
SANG_T1	s aa_h ng_h
SANG_T2	s aa_l ng_h
SANG_T3	s aa_l ng_l
SANG_T4	s aa_h ng_l
SAO_T0	s aa_m o_m
SAO_T1	s aa_h o_h
SAO_T2	s aa_l o_h
SAO_T3	s aa_l o_l
SAO_T4	s aa_h o_l
SE_T0	s el_m el_m
SE_T1	s el_h el_h
SE_T2	s el_l el_h
SE_T3	s el_l el_l
SE_T4	s el_h el_l
SEI_T0	s eh_m i_m
SEI_T1	s eh_h i_h
SEI_T2	s eh_l i_h
SEI_T3	s eh_l i_l
SEI_T4	s eh_h i_l
SEN_T0	s el_m nn_m
SEN_T1	s el_h nn_h
SEN_T2	s el_l nn_h
SEN_T3	s el_l nn_l
SEN_T4	s el_h nn_l
SENG_T0	s el_m ng_m
SENG_T1	s el_h ng_h
SENG_T2	s el_l ng_h
SENG_T3	s el_l ng_l
SENG_T4	s el_h ng_l
SHA_T0	sh a_m a_m
SHA_T1	sh a_h a_h
SHA_T2	sh a_l a_h
SHA_T3	sh a_l a_l
SHA_T4	sh a_h a_l
SHAI_T0	sh a_m eh_m
SHAI_T1	sh a_h eh_h
SHAI_T2	sh a_l eh_h
SHAI_T3	sh a_l eh_l
SHAI_T4	sh a_h eh_l
SHAN_T0	sh a_m nn_m
SHAN_T1	sh a_h nn_h
SHAN_T2	sh a_l nn_h
SHAN_T3	sh a_l nn_l
SHAN_T4	sh a_h nn_l
SHANG_T0	sh aa_m ng_m
SHANG_T1	sh aa_h ng_h
SHANG_T2	sh aa_l ng_h
SHANG_T3	sh aa_l ng_l
SHANG_T4	sh aa_h ng_l
SHAO_T0	sh aa_m o_m
SHAO_T1	sh aa_h o_h
SHAO_T2	sh aa_l o_h
SHAO_T3	sh aa_l o_l
SHAO_T4	sh aa_h o_l
SHE_T0	sh el_m el_m
SHE_T1	sh el_h el_h
SHE_T2	sh el_l el_h
SHE_T3	sh el_l el_l
SHE_T4	sh el_h el_l
SHEI_T0	sh eh_m i_m
SHEI_T1	sh eh_h i_h
SHEI_T2	sh eh_l i_h
SHEI_T3	sh eh_l i_l
SHEI_T4	sh eh_h i_l
SHEN_T0	sh el_m nn_m
SHEN_T1	sh el_h nn_h
SHEN_T2	sh el_l nn_h
SHEN_T3	sh el_l nn_l
SHEN_T4	sh el_h nn_l
SHENG_T0	sh el_m ng_m
SHENG_T1	sh el_h ng_h
SHENG_T2	sh el_l ng_h
SHENG_T3	sh el_l ng_l
SHENG_T4	sh el_h ng_l
SHI_T0	sh ib_m ib_m
SHI_T1	sh ib_h ib_h
SHI_T2	sh ib_l ib_h
SHI_T3	sh ib_l ib_l
SHI_T4	sh ib_h ib_l
SHOU_T0	sh o_m u_m
SHOU_T1	sh o_h u_h
SHOU_T2	sh o_l u_h
SHOU_T3	sh o_l u_l
SHOU_T4	sh o_h u_l
SHU_T0	shu u_m u_m
SHU_T1	shu u_h u_h
SHU_T2	shu u_l u_h
SHU_T3	shu u_l u_l
SHU_T4	shu u_h u_l
SHUA_T0	shu a_m a_m
SHUA_T1	shu a_h a_h
SHUA_T2	shu a_l a_h
SHUA_T3	shu a_l a_l
SHUA_T4	shu a_h a_l
SHUAI_T0	shu a_m eh_m
SHUAI_T1	shu a_h eh_h
SHUAI_T2	shu a_l eh_h
SHUAI_T3	shu a_l eh_l
SHUAI_T4	shu a_h eh_l
SHUAN_T0	shu a_m nn_m
SHUAN_T1	shu a_h nn_h
SHUAN_T2	shu a_l nn_h
SHUAN_T3	shu a_l nn_l
SHUAN_T4	shu a_h nn_l
SHUANG_T0	shu aa_m ng_m
SHUANG_T1	shu aa_h ng_h
SHUANG_T2	shu aa_l ng_h
SHUANG_T3	shu aa_l ng_l
SHUANG_T4	shu aa_h ng_l
SHUI_T0	shu eh_m i_m
SHUI_T1	shu eh_h i_h
SHUI_T2	shu eh_l i_h
SHUI_T3	shu eh_l i_l
SHUI_T4	shu eh_h i_l
SHUN_T0	shu el_m nn_m
SHUN_T1	shu el_h nn_h
SHUN_T2	shu el_l nn_h
SHUN_T3	shu el_l nn_l
SHUN_T4	shu el_h nn_l
SHUO_T0	shu o_m o_m
SHUO_T1	shu o_h o_h
SHUO_T2	shu o_l o_h
SHUO_T3	shu o_l o_l
SHUO_T4	shu o_h o_l
SI_T0	s if_m if_m
SI_T1	s if_h if_h
SI_T2	s if_l if_h
SI_T3	s if_l if_l
SI_T4	s if_h if_l
SONG_T0	su u_m ng_m
SONG_T1	su u_h ng_h
SONG_T2	su u_l ng_h
SONG_T3	su u_l ng_l
SONG_T4	su u_h ng_l
SOU_T0	s o_m u_m
SOU_T1	s o_h u_h
SOU_T2	s o_l u_h
SOU_T3	s o_l u_l
SOU_T4	s o_h u_l
SU_T0	su u_m u_m
SU_T1	su u_h u_h
SU_T2	su u_l u_h
SU_T3	su u_l u_l
SU_T4	su u_h u_l
SUAN_T0	su a_m nn_m
SUAN_T1	su a_h nn_h
SUAN_T2	su a_l nn_h
SUAN_T3	su a_l nn_l
SUAN_T4	su a_h nn_l
SUI_T0	su eh_m i_m
SUI_T1	su eh_h i_h
SUI_T2	su eh_l i_h
SUI_T3	su eh_l i_l
SUI_T4	su eh_h i_l
SUN_T0	su el_m nn_m
SUN_T1	su el_h nn_h
SUN_T2	su el_l nn_h
SUN_T3	su el_l nn_l
SUN_T4	su el_h nn_l
SUO_T0	su o_m o_m
SUO_T1	su o_h o_h
SUO_T2	su o_l o_h
SUO_T3	su o_l o_l
SUO_T4	su o_h o_l
TA_T0	t a_m a_m
TA_T1	t a_h a_h
TA_T2	t a_l a_h
TA_T3	t a_l a_l
TA_T4	t a_h a_l
TAI_T0	t a_m eh_m
TAI_T1	t a_h eh_h
TAI_T2	t a_l eh_h
TAI_T3	t a_l eh_l
TAI_T4	t a_h eh_l
TAN_T0	t a_m nn_m
TAN_T1	t a_h nn_h
TAN_T2	t a_l nn_h
TAN_T3	t a_l nn_l
TAN_T4	t a_h nn_l
TANG_T0	t aa_m ng_m
TANG_T1	t aa_h ng_h
TANG_T2	t aa_l ng_h
TANG_T3	t aa_l ng_l
TANG_T4	t aa_h ng_l
TAO_T0	t aa_m o_m
TAO_T1	t aa_h o_h
TAO_T2	t aa_l o_h
TAO_T3	t aa_l o_l
TAO_T4	t aa_h o_l
TE_T0	t el_m el_m
TE_T1	t el_h el_h
TE_T2	t el_l el_h
TE_T3	t el_l el_l
TE_T4	t el_h el_l
TENG_T0	t el_m ng_m
TENG_T1	t el_h ng_h
TENG_T2	t el_l ng_h
TENG_T3	t el_l ng_l
TENG_T4	t el_h ng_l
TI_T0	ti i_m i_m
TI_T1	ti i_h i_h
TI_T2	ti i_l i_h
TI_T3	ti i_l i_l
TI_T4	ti i_h i_l
TIAN_T0	ti a_m nn_m
TIAN_T1	ti a_h nn_h
TIAN_T2	ti a_l nn_h
TIAN_T3	ti a_l nn_l
TIAN_T4	ti a_h nn_l
TIAO_T0	ti aa_m o_m
TIAO_T1	ti aa_h o_h
TIAO_T2	ti aa_l o_h
TIAO_T3	ti aa_l o_l
TIAO_T4	ti aa_h o_l
TIE_T0	ti eh_m eh_m
TIE_T1	ti eh_h eh_h
TIE_T2	ti eh_l eh_h
TIE_T3	ti eh_l eh_l
TIE_T4	ti eh_h eh_l
TING_T0	ti el_m ng_m
TING_T1	ti el_h ng_h
TING_T2	ti el_l ng_h
TING_T3	ti el_l ng_l
TING_T4	ti el_h ng_l
TONG_T0	tu u_m ng_m
TONG_T1	tu u_h ng_h
TONG_T2	tu u_l ng_h
TONG_T3	tu u_l ng_l
TONG_T4	tu u_h ng_l
TOU_T0	t o_m u_m
TOU_T1	t o_h u_h
TOU_T2	t o_l u_h
TOU_T3	t o_l u_l
TOU_T4	t o_h u_l
TU_T0	tu u_m u_m
TU_T1	tu u_h u_h
TU_T2	tu u_l u_h
TU_T3	tu u_l u_l
TU_T4	tu u_h u_l
TUAN_T0	tu a_m nn_m
TUAN_T1	tu a_h nn_h
TUAN_T2	tu a_l nn_h
TUAN_T3	tu a_l nn_l
TUAN_T4	tu a_h nn_l
TUI_T0	tu eh_m i_m
TUI_T1	tu eh_h i_h
TUI_T2	tu eh_l i_h
TUI_T3	tu eh_l i_l
TUI_T4	tu eh_h i_l
TUN_T0	tu el_m nn_m
TUN_T1	tu el_h nn_h
TUN_T2	tu el_l nn_h
TUN_T3	tu el_l nn_l
TUN_T4	tu el_h nn_l
TUO_T0	tu o_m o_m
TUO_T1	tu o_h o_h
TUO_T2	tu o_l o_h
TUO_T3	tu o_l o_l
TUO_T4	tu o_h o_l
WA_T0	wu a_m a_m
WA_T1	wu a_h a_h
WA_T2	wu a_l a_h
WA_T3	wu a_l a_l
WA_T4	wu a_h a_l
WAI_T0	wu a_m eh_m
WAI_T1	wu a_h eh_h
WAI_T2	wu a_l eh_h
WAI_T3	wu a_l eh_l
WAI_T4	wu a_h eh_l
WAN_T0	wu a_m nn_m
WAN_T1	wu a_h nn_h
WAN_T2	wu a_l nn_h
WAN_T3	wu a_l nn_l
WAN_T4	wu a_h nn_l
WANG_T0	wu aa_m ng_m
WANG_T1	wu aa_h ng_h
WANG_T2	wu aa_l ng_h
WANG_T3	wu aa_l ng_l
WANG_T4	wu aa_h ng_l
WEI_T0	wu eh_m i_m
WEI_T1	wu eh_h i_h
WEI_T2	wu eh_l i_h
WEI_T3	wu eh_l i_l
WEI_T4	wu eh_h i_l
WEN_T0	wu el_m nn_m
WEN_T1	wu el_h nn_h
WEN_T2	wu el_l nn_h
WEN_T3	wu el_l nn_l
WEN_T4	wu el_h nn_l
WENG_T0	wu el_m ng_m
WENG_T1	wu el_h ng_h
WENG_T2	wu el_l ng_h
WENG_T3	wu el_l ng_l
WENG_T4	wu el_h ng_l
WO_T0	wu o_m o_m
WO_T1	wu o_h o_h
WO_T2	wu o_l o_h
WO_T3	wu o_l o_l
WO_T4	wu o_h o_l
WU_T0	wu u_m u_m
WU_T1	wu u_h u_h
WU_T2	wu u_l u_h
WU_T3	wu u_l u_l
WU_T4	wu u_h u_l
XI_T0	xi i_m i_m
XI_T1	xi i_h i_h
XI_T2	xi i_l i_h
XI_T3	xi i_l i_l
XI_T4	xi i_h i_l
XIA_T0	xi a_m a_m
XIA_T1	xi a_h a_h
XIA_T2	xi a_l a_h
XIA_T3	xi a_l a_l
XIA_T4	xi a_h a_l
XIAN_T0	xi a_m nn_m
XIAN_T1	xi a_h nn_h
XIAN_T2	xi a_l nn_h
XIAN_T3	xi a_l nn_l
XIAN_T4	xi a_h nn_l
XIANG_T0	xi aa_m ng_m
