伬	CHE_T3
伭	XIAN_T2
伮	NU_T3
伯	BAI_T1;BAI_T3;BAI_T0;BO_T2;BO_T0
估	GU_T1;GU_T4
伱	NI_T3
伲	NI_T4;NI_T3
伳	XIE_T4
伴	BAN_T4
伵	XU_T4
伶	LING_T2
伷	ZHOU_T4
伸	SHEN_T1
伹	ZU_T4
伺	CI_T4;SI_T4
伻	BENG_T1
似	SI_T4;SHI_T4
伽	GA_T1;JIA_T1;QIE_T2
伾	PI_T1
伿	YI_T4
佀	SI_T4
佁	YI_T3
佂	ZHENG_T1
佃	DIAN_T4;TIAN_T2
佄	HAN_T1
佅	MAI_T4
但	DAN_T4
佉	QU_T1
佊	BI_T3
佋	ZHAO_T1
佌	CI_T3
位	WEI_T4
低	DI_T1
住	ZHU_T4
佐	ZUO_T3
佑	YOU_T4
佒	YANG_T3
体	TI_T1;TI_T3
何	HE_T4;HE_T2
佖	BI_T4
佗	TUO_T2
佘	SHE_T2
余	YU_T2
佚	YI_T4
佛	FO_T2;FU_T2
作	ZUO_T1;ZUO_T4;ZUO_T2;ZUO_T0
佝	GOU_T1
佞	NING_T4
佟	TONG_T2
你	NI_T3
佡	XIAN_T1
佢	QU_T2
佣	YONG_T1;YONG_T4
佤	WA_T3
佥	QIAN_T1
佦	SHI_T2
佧	KA_T3
佨	BAO_T1
佩	PEI_T4
佫	HE_T4
佬	LAO_T3
佭	XIANG_T2
佮	GE_T2
佯	YANG_T2
佰	BAI_T3
佱	FA_T3
佲	MING_T3
佳	JIA_T1
佴	ER_T4;NAI_T4
佶	JI_T2
佷	HEN_T3
佸	HUO_T2
佹	GUI_T3
佺	QUAN_T2
佻	TIAO_T1
佼	JIAO_T3
佽	CI_T4
佾	YI_T4
使	SHI_T3;SHI_T0
侀	XING_T2
侁	SHEN_T1
侂	TUO_T1
侃	KAN_T3
侄	ZHI_T2
侅	HAI_T4
侇	YI_T2
侈	CHI_T3
侉	KUA_T3
侊	GUANG_T1
例	LI_T4
侌	YIN_T1
侍	SHI_T4
侎	MI_T3
侏	ZHU_T1
侐	XU_T4
侑	YOU_T4
侒	AN_T3
侓	LU_T4
侔	MOU_T2
侕	ER_T2
侗	DONG_T4;TONG_T2;TONG_T3
侘	CHA_T4
侙	CHI_T1
侚	XUN_T4
供	GONG_T1;GONG_T4
侜	ZHOU_T1
依	YI_T1
侞	RU_T2
侟	JIAN_T4
侠	XIA_T2
価	SI_T4
侢	DAI_T4
侣	LV_T3
侥	JIAO_T3;YAO_T2
侦	ZHEN_T1
侧	CE_T4;ZE_T4;ZHAI_T1
侨	QIAO_T2
侩	KUAI_T4
侪	CHAI_T2
侫	NING_T4
侬	NONG_T2
侭	JIN_T4
侮	WU_T3
侯	HOU_T4;HOU_T2
侰	JIONG_T3
侱	TING_T3
侲	ZHEN_T4
侳	ZUO_T4
侴	CHOU_T3
侵	QIN_T1
侸	SHU_T4
侹	TING_T3
侺	SHEN_T4
侻	TUI_T4;TUO_T1
侼	BO_T2
侽	NAN_T2
侾	XIAO_T1
便	BIAN_T4;BIAN_T0;PIAN_T2
俀	TUI_T3
促	CU_T4
俄	E_T2
俅	QIU_T2
俆	XU_T2
俇	GUANG_T4
俈	KU_T4
俉	WU_T3
俊	JUN_T4
俋	YI_T4
俌	FU_T3
俍	LIANG_T2
俎	ZU_T3
俏	QIAO_T4
俐	LI_T4
俑	YONG_T3
俒	HUN_T4
俓	YING_T2
俔	XIAN_T4
俕	SAN_T4
俗	SU_T2
俘	FU_T2
俙	XI_T1
俚	LI_T3
俛	FU_T3;MIAN_T3
俜	PING_T1
保	BAO_T3
俞	SHU_T4;YU_T2
俟	QI_T2;SI_T4
信	XIN_T4
俢	XIU_T1
俣	YU_T3
俤	DI_T4
俥	CHE_T1
俦	CHOU_T2
俨	YAN_T3
俩	LIA_T3;LIANG_T3
俪	LI_T4
俫	LAI_T2
俬	SI_T1
俭	JIAN_T3
修	XIU_T1
俯	FU_T3
俰	HUO_T4
俱	JU_T1;JU_T4
俲	XIAO_T4
俳	PAI_T2
俴	JIAN_T4
俵	BIAO_T4
俶	CHU_T4;TI_T4
俷	FEI_T4
俸	FENG_T4
俹	YA_T4
俺	AN_T3
俻	BEI_T4
俼	YU_T4
俽	XIN_T1
俾	BI_T3
俿	HU_T3
倁	ZHI_T1
倂	BING_T4
倃	JIU_T4
倄	YAO_T2
倅	CUI_T4;ZU_T2
倇	WAN_T3
倈	LAI_T2
倊	ZONG_T4
倌	GUAN_T1
倍	BEI_T4
倎	TIAN_T3
倏	SHU_T1
倐	SHU_T1
倒	DAO_T4;DAO_T3
倓	TAN_T2
倔	JUE_T4;JUE_T2
倕	ZHUI_T4
倗	PENG_T2
倘	CHANG_T2;TANG_T3
候	HOU_T4;HOU_T0
倚	YI_T3
倛	QI_T2
倜	TI_T4
倝	GAN_T4
倞	JING_T4;LIANG_T4
借	JIE_T4
倠	SUI_T1
倡	CHANG_T4
倢	QIE_T4
値	ZHI_T2
倥	KONG_T1;KONG_T3
倦	JUAN_T4
倧	ZONG_T1
倨	JU_T4
倩	QIAN_T4
倪	NI_T2
倬	ZHUO_T1
倭	WO_T1
倮	LUO_T3
倯	SONG_T1
倰	LING_T2
倱	HUN_T4
倲	DONG_T4
倳	ZI_T4
倴	BEN_T4
倵	WU_T3
倶	JU_T4
倷	NAI_T3
倸	CAI_T3
倹	JIAN_T3
债	ZHAI_T4
倻	YE_T1
值	ZHI_T2
倽	SHA_T4
倾	QING_T1
倿	NING_T4
偀	YING_T1
偁	CHENG_T1
偂	QIAN_T2
偃	YAN_T3
偄	RUAN_T3
偅	ZHONG_T4
偆	CHUN_T3
假	JIA_T4;JIA_T3
偈	JIE_T2;JI_T4
偊	YU_T3
偋	BING_T4
偌	RUO_T4
偍	TI_T2
偎	WEI_T1
偏	PIAN_T1
偐	YAN_T4
偑	FENG_T1
偒	TANG_T3
偓	WO_T4
偔	E_T4
偕	XIE_T2
偖	CHE_T3
偗	SHENG_T3
偘	KAN_T3
偙	DI_T4
做	ZUO_T4
偛	CHA_T1
停	TING_T2
偝	BEI_T4
偞	YE_T4
偟	HUANG_T2
偠	YAO_T3
偡	ZHAN_T4
偢	CHOU_T3;QIAO_T4
偣	YAN_T1
偤	YOU_T2
健	JIAN_T4
偦	XU_T3
偧	ZHA_T1
偨	CI_T1
偩	FU_T4
偫	ZHI_T4
偬	ZONG_T3
偭	MIAN_T3
偮	JI_T2
偯	YI_T3
偰	XIE_T4
偱	XUN_T2
偲	CAI_T1;SI_T1
偳	DUAN_T1
偶	OU_T3
偷	TOU_T1
偸	TOU_T1
偹	BEI_T4
偻	LOU_T2;LV_T3
偼	JIE_T2
偾	FEN_T4
偿	CHANG_T2
傀	GUI_T1;KUI_T3
傁	SOU_T3
傂	ZHI_T4
傃	SU_T4
傄	XIA_T1
傅	FU_T4;FU_T0
傆	YUAN_T4
傇	RONG_T3
傈	LI_T4
傉	NU_T4
傊	YUN_T4
傋	JIANG_T3
傍	BANG_T4
傎	DIAN_T1
傏	TANG_T2
傐	HAO_T4
傒	XI_T1;XI_T4
傓	SHAN_T4
傔	QIAN_T4
傕	QUE_T4
傗	CHU_T4
傛	YONG_T3
傜	YAO_T2
傝	TAN_T4
傞	SUO_T1
傟	YANG_T3
傠	FA_T2
傡	BING_T4
傣	DAI_T3
傤	ZAI_T4
傥	TANG_T3
傦	GU_T3
傧	BIN_T1
储	CHU_T3
傩	NUO_T2
傪	SAN_T3
傫	LEI_T3
催	CUI_T1
傮	ZAO_T1
傰	BENG_T1
傱	SHUANG_T3
傲	AO_T4
傶	ZU_T2
